Content,Target
ভারতীয় দূতাবাস ঘেরাও দুপুর ২টা,1
আল্লাহ এর বিচারে হাসার সুযোগ ও পাবি না🫤,1
একজন চাওয়ালার থেকে আর কি আশা করা যায় কখনো ধর্মের নামে দাঙ্গা লাগায়  কখনো বাঁধের পানি ছেড়ে দিয়ে মজা নেয়  আবার চায়না  পাকিস্তান আরো কত দেশের সাথে গায়ে পরে ঝগড়া করে। অবশ্য ভারতীয়রা এমনি স্বার্থ ছাড়া একগ্লাস পানিও খাওয়াবে না। এখন তো আর আমাদের দেশ থেকে লুটতরাজের সকল পথ বন্ধ তাই আমাদের এভাবে ক্ষতিগ্রস্ত করলো। আল্লাহ ছাড় দেন কিন্তু ছেড়ে দেন না। একদিন এই পানির জন্য এরা কাঁদবে।,1
ফেরাউন কেও পানিতেই ডুবে মরতে হয়ে ছিলো। যাই হোক আন্তর্জাতিক আদালতে ভারতের নামে মামলা করার এখনি সময় তারা কেনো আন্তর্জাতিক নদীতে বে আইনি বাধ দিলো,1
ভারতে বন্যা হয় কেনআল্লাহর গজববাংলাদেশে বন্যা হয় কেনভারতের কারণেপাকিস্তান আফগানিস্তানে বন্যা হয় কেনআল্লাহর পরীক্ষাদুবাইয়ে বন্যা হয় কেনমন্দির বানানোর কারণেসৌদিতে বন্যা হয় কেনসিনেমাহল বানানোর কারণেআর কোন দেশে কী কারণে বন্যা হয় বলতে পারেন।,1
মডি বাইনচুদ 😡,1
চা ওয়ালা থেকে কি আর প্রত্যাশা করা যায় 🙂,1
শুয়রের বাচ্চা।,1
কাপুরুষের কাজই এইটা। সরাসরি না পারলে মেয়ে মানুষের মতো এমন আঁচড় দিবে। ইনশাআল্লাহ এইবার বাচতে দেন ভারতের   মরবো না।,1
আল্লাহর মাইর দুনিয়ার বাইরকষ্ট করতেসিইনশাআল্লাহ তোদের দশাও আল্লাহ দেখাবেন বিশ্বাস করিকোনো জালেমই টিকে থাকতে পারে নাইপারবেও নাপতন হবেই ইনশাআল্লাহ 🤲,1
পানি সন্ত্রাসী,1
১২৩৪ ভারতের পু৳ক মার।,1
সবচেয়ে নিকৃষ্ট মানবসন্তান ফিরাউনের বংশধর।,1
পশ্চিমবঙ্গ ত্রিপুরা ও বাংলাদেশের বেশিরভাগ বন্যাই দিল্লির তৈরি৷,1
ভারতকে যারা বন্ধু বলে ওরা বাংলাদেশের শত্রু। আই রিপিট এগেইন ওরা বাংলাদেশের শত্রু।,1
বউয়ের অপমানের বদলা স্বামী নিচ্ছে ব্যারেজ খুলে দিয়ে।।পরিনতি চরম শত্রুতার দিক গড়াবে।।,1
বাংলাদেশের সবচাইতে বড় শত্রু হলো ভারত। এই ভারতে চাইতে খারাপরাষ্ট্র দ্বিতীয় আরেকটা আছে কিনা সন্দেহ। এরা হচ্ছে দ্বিতীয় ইসরাইল। তাই বলবো বাংলাদেশের যে বেশি ভারত বিরোধী। সে ততো বড় দেশ প্রেমিক। 🇧🇩,1
পীপিলিকার পাখা গজায় মরিবার তরেসময়টা এই। শান্তি আসবে ইনশাআল্লাহ।,1
এই কুত্তার বাচ্চার ওপর ঠাডা পরুক,1
তাদের দেশের মৌমিতার জন্য আমরা সবাই কাঁদতেছিলাম আর তারা আমার দেশের বন্যায় আটকা মানুষ দেখে হাসছে।মানুষ আর অমানুষ এর পার্থক্য মানবিকতার,1
